name	type	db	id (predicted)	label (predicted)	prediction correct	comment (predicted id)	uri (manual)	comment (uri manual)	
LC3	GenericProtein	uniprot	Q9H492	MAP1LC3A (Microtubule-associated protein 1 light chain 3 alpha)	n	too specific	uniprot:Q9H492;uniprot:Q9GZQ8;uniprot:Q9BXW4		
DNA damage	Phenotype	hp	HP:0003254	abnormality of DNA repair	n		mesh:D004249		
STING_p	GenericProtein	uniprot	Q86WV6	STING1 (Stimulator of interferon genes protein)	y				
nsp12	GenericProtein	UniProt	P0DTD1	RNA-directed RNA polymerase	n	too general	Mesh:C000706296		
nsp15	GenericProtein	uniprot	P0DTD1	Non-structural protein 15 (NendoU endoribonuclease)	n	too general	mesh:C000657925		
nsp10	GenericProtein	uniprot	P0DTD1	Non-structural protein 10	n	too general	mesh:C000705769		
nsp8 (II)	GenericProtein	UniProt	P0DTD1	Non-structural protein 8 (NSP8)	n	too general	mesh:C000707895		
nsp4	GenericProtein	Uniprot	P0DTC1	Non-structural protein 4	n	too general	mesh:C000706290		
pp1a	GenericProtein	uniprot	P0DTC1	Replicase polyprotein 1a (pp1a)	y				
nsp9	GenericProtein	uniprot	P0DTD1	Non-structural protein 9 (Nsp9)	n	too general	mesh:C000705768		
nsp6	GenericProtein	interpro	IPR044367	Non-structural protein 6, betacoronavirus	n	too general	mesh:C000705767		
nsp13	GenericProtein	uniprot	P0DTD1	Non-structural protein 13 (nsp13)	n	too general	Mesh:C000722450		
nsp14	GenericProtein	uniprot	P0DTD1	Non-structural protein 14	n	too general	mesh:C000709087		
nsp1	GenericProtein	uniprot	P0DTD1	Non-structural protein 1	n	too general	mesh:C000706293		
nsp12	GenericProtein	Uniprot	P0DTD1	RNA-directed RNA polymerase nsp12	n	too general	Mesh:C000706296		
nsp10	GenericProtein	MeSH	C000705769	NSP10 protein, SARS-CoV-2	y				
nsp9	GenericProtein	Uniprot	P0DTD1	Non-structural protein 9 (Nsp9) from SARS-CoV-2	n	too general	mesh:C000705768		
nsp12	GenericProtein	UniProt	P0DTD1	Non-structural protein 12 (nsp12) â RNA-directed RNA polymerase	n	too general	Mesh:C000706296		
nsp10	GenericProtein	uniprot	P0DTD1	Non-structural protein 10 (nsp10) from SARS-CoV-2	n	too general	mesh:C000705769		
pp1ab	GenericProtein	UniProt	P0DTD1-1	Replicase polyprotein 1ab	n	isoform	uniprot:P0DTD1		
nsp16	GenericProtein	InterPro	IPR009461	Non-structural protein NSP16, coronavirus-like	n	too general	mesh:C000709423		
nsp7	GenericProtein	UniProt	P0C6X7	Non-structural protein 7	n	too general; wrong organism	mesh:C000705669		
nsp8 (I)	GenericProtein	UniProt	P0DTD1	Non-structural protein 8	n	too general	mesh:C000707895		
nsp8 (II)	GenericProtein	uniprot	P0DTD1	Non-structural protein 8 (NSP8)	n	too general	mesh:C000707895		
nsp9	GenericProtein	uniprot	P0DTD1	Non-structural protein 9	n	too general	mesh:C000705767		
nsp12	GenericProtein	uniprot	P0DTD1	RNA-directed RNA polymerase	n	too general	Mesh:C000706296		
nsp10	GenericProtein	uniprot	P0DTD1	Non-structural protein 10	n	too general	mesh:C000705769		
nsp14	GenericProtein	uniprot	P0DTD1-1	Non-structural protein 14	n	too general;isoform	mesh:C000709087		
nsp7	GenericProtein	MeSH	C000705669	NSP7 protein, SARS-CoV-2	y				
nsp8 (I)	GenericProtein	uniprot	P0DTC1	Non-structural protein 8 (nsp8) of SARS-CoV-2	n	too general	mesh:C000707895		
nsp8 (II)	GenericProtein	UniProt	P0DTD1	Non-structural protein 8 (NSP8)	n	too general	mesh:C000707895		
pp1a	GenericProtein	uniprot	P62136	serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PPP1CA)	n		uniprot:P0DTC1		
pp1ab	GenericProtein	uniprot	P0C6X7	Replicase polyprotein 1ab	n	wrong organism	uniprot:P0DTD1		
nsp7	GenericProtein	uniprot	P0DTD3	Non-structural protein 7 (NSP7)	n		mesh:C000705669		
nsp11	GenericProtein	UniProt	P0DTC1	NSP11 (non-structural protein 11)	n	too general	mesh:C000657925		
nsp3	GenericProtein	Uniprot	P0DTD1	Non-structural protein 3	n	too general	mesh:C000706267		
nsp5	GenericProtein	UniProt	P0DTC1	3C-like proteinase (nsp5)	n	too general	mesh:C000706209		
nsp9	GenericProtein	UniProt	P0DTD1	Non-structural protein 9 (nsp9)	n	too general	mesh:C000705767		
nsp12	GenericProtein	Uniprot	P0DTD1	Non-structural protein 12	n	too general	Mesh:C000706296		
nsp10	GenericProtein	UniProt	P0DTD1	Non-structural protein 10	n	too general	mesh:C000705769		
nsp7	GenericProtein	UniProt	P0DTD1	Non-structural protein 7	n	too general	mesh:C000705669		
nsp8 (I)	GenericProtein	UniProt	P0DTD1	Non-structural protein 8	n	too general	mesh:C000707895		
nsp8 (II)	GenericProtein	interpro	IPR014829	Non-structural protein NSP8, coronavirus	n	too general	mesh:C000707895		
nsp8 (I)	GenericProtein	UniProt	P0DTD1	Non-structural protein 8	n	too general	mesh:C000707895		
nsp8 (II)	GenericProtein	uniprot	P0DTD1	Non-structural protein 8 (NSP8)	n	too general	mesh:C000707895		
QGC001	Drug	drugbank	DB13107	Firibastat	y				
REN	GenericProtein	UniProt	P00797	Renin	y				
TRIM30a	GenericProtein	UniProt	P15533	Tripartite motif-containing protein 30A	n	wrong organism?;can’t find			
IKBA	GenericProtein	UniProt	P25963	IÎºB alpha (IKBA)	y				
IKBA	GenericProtein	uniprot	P25963	NF-kappa-B inhibitor alpha	y				
HSP90	GenericProtein	uniprot	P07900	Heat shock protein HSP90-alpha	y				
BID	GenericProtein	UniProt	P55957	BID (BH3-interacting domain death agonist)	y				
Orf3a (-)ss sgmRNA	RNA	ncbigene	43740569	ORF3a protein	y				
Nsp6	GenericProtein	InterPro	IPR044367	Non-structural protein 6 (NSP6)	n	too general	mesh:C000705767		
Nsp10	GenericProtein	UniProt	P0DTD1	Non-structural protein 10	n	too general	mesh:C000705769		
Nsp1	GenericProtein	Uniprot	P0DTD1	Non-structural protein 1 (nsp1) of SARS-CoV-2	n	too general	mesh:C000706293		
Nsp11	GenericProtein	mesh	C000657925	nidoviral uridylate-specific endoribonuclease	y				
Nsp9	GenericProtein	Uniprot	P0C6X1	Non-structural protein NSP9	n	too general;wrong organism	mesh:C000705768		
Nsp12	GenericProtein	UniProt	P0DTD1	RNA-directed RNA polymerase	n	too general	Mesh:C000706296		
Replication transcription complex	Complex	GO	GO:0031261	DNA replication preinitiation complex	n		mesh:D000086969		
Nsp3	GenericProtein	uniprot	P0DTC1	Papain-like protease nsp3	n	too general	mesh:C000706267		
Nsp16	GenericProtein	UniProt	P0DTD1	Non-structural protein 16 (nsp16)	n	too general	mesh:C000709423		
Nsp7	GenericProtein	UniProt	P0DTD1	Non-structural protein 7	n	too general	mesh:C000705669		
Nsp15	GenericProtein	UniProt	P0DTD1	Uridylate-specific endoribonuclease (NendoU)	n	too general	mesh:C000657925		
Nsp8	GenericProtein	uniprot	P0DTD1	Non-structural protein 8	n	too general	mesh:C000707895		
Orf8 (-)ss sgmRNA	RNA	ncbigene	43740577	ORF8 protein	y				
Orf7b (-)ss sgmRNA	RNA	ncbigene	43740574	ORF7b	y				
Replication transcription complex	Complex	GO	GO:0031261	DNA replication preinitiation complex	n		mesh:D000086969		
Orf8 ds sgmRNA	RNA	ncbigene	43740577	ORF8 protein	y				
Nsp4	GenericProtein	uniprot	P0DTC1	Non-structural protein 4	n	too general	mesh:C000706290		
Nsp2	GenericProtein	uniprot	Q03243	Rotavirus NSP2	n	too general	Mesh:C000705667		
Nsp14	GenericProtein	Uniprot	P0DTD2	Non-structural protein 14 (nsp14)	n	too general	mesh:C000709087		
Nsp5	GenericProtein	Uniprot	P0DTD1	3C-like proteinase (nsp5) (SARS-CoV-2 main protease)	n	too general	mesh:C000706209		
Nsp3-4	GenericProtein	UniProt	P0DTC1	Non-structural protein 3 (nsp3)	n	too general	mesh:C000706267;mesh:C000706290		
H4-16	GenericProtein	UniProt	P62805	H4 histone 16	y				
MPP5	GenericProtein	UniProt	Q8N3R9	MAGUK p55 subfamily member 5	y				
Chromatin organization	Phenotype	go	GO:0006325	chromatin organization	y				
H4-16	GenericProtein	uniprot	P62805	Histone H4	y				
H4-16	GenericProtein	Uniprot	P62805	Histone H4	y				
Activity of sodium channels	Phenotype	go	GO:0005272	sodium channel activity	y				
MPP5	GenericProtein	Uniprot	Q8N3R9	MAGUK p55 subfamily member 5	y				
MPP5	GenericProtein	UniProt	Q8N3R9	MAGUK p55 subfamily member 5	y				
MPP5	GenericProtein	UniProt	Q8N3R9	MAGUK p55 subfamily member 5 (PALS1)	y				
IKKb	GenericProtein	UniProt	O14920	Inhibitor of Nuclear Factor Kappa-B Kinase Subunit Beta (IKK-Î²)	y				
NEMO	GenericProtein	Uniprot	Q9Y6K9	NF-kappa-B essential modulator	y				
IKKa	GenericProtein	uniprot	O15111	I-kappa-B kinase alpha (IKK-Î±), CHUK	y				
IKKa	GenericProtein	UniProt	O15111	Inhibitor of NF-ÎºB kinase subunit alpha (IKK-Î±)	y				
EIF2AK	Gene	HGNC	EIF2AK4	eukaryotic translation initiation factor 2 alpha kinase 4	y				
TRIF	GenericProtein	uniprot	Q8IUC6	TICAM1 (TRIF)	y				
RIP1	GenericProtein	uniprot	Q13546	Receptor-interacting serine/threonine-protein kinase 1	y				
Nsp6	GenericProtein	UniProt	P0DTC6	Non-structural protein 6	n		mesh:C000705767		
IRAK1/4	GenericProtein	UniProt	P51617	Interleukin-1 receptor-associated kinase 1	n	too specific	Uniprot:P51617;uniprot:Q9NWZ3		
IkB	GenericProtein	UniProt	P25963	NF-kappa-B inhibitor alpha (IÐºBÎ±)	n	too specific	Interpro:IPR051070		
Orf8b	GenericProtein	Uniprot	Q80H93	Non-structural protein 8b	n	wrong organism	uniprot:P0DTC8		
Orf8a	GenericProtein	uniprot	P0DTC8	ORF8 protein	n	too general; can’t find	uniprot:P0DTC8		
EIF2AK	GenericProtein	uniprot	P19525	Eukaryotic translation initiation factor 2-alpha kinase 2	y				
Orf6	GenericProtein	uniprot	P0DTC6	ORF6 protein	y				
TRIF	GenericProtein	UniProt	Q8IUC6	TRIF	y				
N	GenericProtein	UniProt	P0DTC9	Nucleocapsid protein (N)	y				
Orf7a	GenericProtein	UniProt	P0DTC7	ORF7a protein	y				
DDX58	GenericProtein	UniProt	O95786	RIG-I (DDX58)	y				
Nsp15	GenericProtein	UniProt	P0DTD1	Uridylate-specific endoribonuclease (NendoU) Nsp15	n	too general	mesh:C000657925		
Nsp10	GenericProtein	uniprot	P0DTD1	Non-structural protein 10	n	too general	mesh:C000705769		
TRIF	GenericProtein	UniProt	Q8IUC6	TICAM1	y				
NAP1	GenericProtein	uniprot	P55209	Nucleosome assembly protein 1-like 1 (NAP1L1)	n		Uniprot:O96009		
TRIF	GenericProtein	UniProt	Q8IUC6	TIR domain-containing adaptor molecule 1 (TRIF)	y				
IRAK1/4	GenericProtein	UniProt	P51617	Interleukin-1 receptor-associated kinase 1 (IRAK-1)	n	too specific	Uniprot:P51617;uniprot:Q9NWZ3		
IKKb	GenericProtein	UniProt	O14920	Inhibitor of nuclear factor kappa-B kinase subunit beta	y				
Nsp3	GenericProtein	UniProt	P0DTC1	Papain-like protease nsp3	n	too general	mesh:C000706267		
TAK1	GenericProtein	UniProt	O43318	MAP3K7 (TAK1) - Mitogen-activated protein kinase kinase kinase 7	y				
Nsp3	GenericProtein	UniProt	P0DTD1	Non-structural protein 3 (nsp3)	n	too general	mesh:C000706267		
MNS	Drug	pubchem.compound	672296	3,4-Methylenedioxy-Î²-nitrostyrene	y				
Nsp1	GenericProtein	uniprot	P0DTD1	Non-structural protein 1	n	too general	mesh:C000706293		
pp1ab	GenericProtein	UniProt	P0DTD1	Replicase polyprotein 1ab	y				
IkB	GenericProtein	UniProt	P25963	NF-kappa-B inhibitor alpha (IÎºBÎ±)	n	too specific	Interpro:IPR051070		
Nsp5	GenericProtein	uniprot	P0DTD1	Non-structural protein 5 (nsp5)	n	too general	mesh:C000706209		
Orf3a	GenericProtein	Uniprot	P0DTC3	ORF3a protein	y				
IRAK1/4	GenericProtein	Uniprot	P51617	Interleukin-1 receptor-associated kinase 1	n	too specific	Uniprot:P51617;uniprot:Q9NWZ3		
NAP1	GenericProtein	uniprot	P55209	Nucleosome assembly protein 1-like 1	n		Uniprot:O96009		
TAK1	GenericProtein	UniProt	MAP3K7	Mitogen-activated protein kinase kinase kinase 7 (TAK1)	n		uniprot:O43318		
GRL0617	Drug	drugbank	DB08656	GRL-0617	y				
IkB	GenericProtein	UniProt	P48560	Inhibitor of NF-ÎºB alpha (IÎºBÎ±)	n		Interpro:IPR051070		
EIF2AK	GenericProtein	uniprot	P19525	eukaryotic translation initiation factor 2-alpha kinase 2	n	too specific	uniprot:Q9BQI3		
EIF2AK	GenericProtein	uniprot	P19525	EIF2AK2 (PKR)	n	too specific	uniprot:Q9BQI3		
IkB	GenericProtein	UniProt	P25963	NFKB inhibitor alpha (IÎºBÎ±)	n	too specific	Interpro:IPR051070		
RIP1	GenericProtein	uniprot	Q13546	Receptor-interacting serine/threonine-protein kinase 1	y				
DDX58	GenericProtein	uniprot	O95786	Antiviral innate immune response receptor RIG-I	y				
DDX58	GenericProtein	UniProt	O95786	RNA helicase DDX58	y				
precursor protein N-terminus binding	GenericProtein	UniProt	P05067	Amyloid-beta precursor protein	n	to check;can’t find			
Orf9b	GenericProtein	UniProt	P0DTD2	Orf9b protein (Betacoronavirus lipid-binding protein)	y				
Fe-S	SimpleMolecule	pubchem.compound	14828	Iron(II) sulfide	y				
Fe-S	SimpleMolecule	pubchem.compound	14828	Iron(II) sulfide	y				
C12orf65	GenericProtein	UniProt	Q9H3J6	Probable peptide chain release factor C12orf65, mitochondrial	y				
Nsp8	GenericProtein	InterPro	IPR014829	Non-structural protein NSP8, coronavirus	n		mesh:C000707895		
Fe-S	SimpleMolecule	pubchem.compound	10290742	Iron(II) sulfide	n	related	Pubchem.compound:14828		
Nsp6	GenericProtein	UniProt	P0DTD1-1	pp1ab-nsp6 (Non-structural protein 6)	n		mesh:C000705767		
ATP5MD	GenericProtein	uniprot	Q96IX5	ATP synthase membrane subunit DAPIT	y				
ATP5MPL	GenericProtein	UniProt	P56378	ATP synthase membrane subunit 6.8PL	y				
Nsp7	GenericProtein	Uniprot	P0C6X7	Non-structural protein 7	n	too general;wrong organism	mesh:C000705669		
Nsp4	GenericProtein	UniProt	P0DTC1	Non-structural protein 4 (nsp4)	n	too general	mesh:C000706290		
Fe-S	SimpleMolecule	pubchem.compound	14828	Iron(II) sulfide	y				
e-	Ion	chebi	CHEBI:24870	ion	n	too general	CHEBI:10545		
Nsp5	GenericProtein	Uniprot	P0DTD1	3C-like proteinase (nsp5)	n	too general	mesh:C000706209		
Orf9c	GenericProtein	UniProt	P0DTD3	Putative ORF9c protein	y				
precursor protein N-terminus binding	GenericProtein	Uniprot	PREP_HUMAN (Q5JRX3)	Presequence protease, mitochondrial	n	to check; can’t find			
ATP5MD	GenericProtein	uniprot	Q96IX5	ATP synthase membrane subunit DAPIT	y				
ATP5MPL	GenericProtein	UniProt	P56378	ATP synthase membrane subunit 6.8PL	y				
Fe-S	SimpleMolecule	pubchem.compound	14828	Iron(II) sulfide	y				
MFN1	GenericProtein	uniprot	Q8IWA4	Mitofusin-1	y				
MFN1	GenericProtein	uniprot	Q8IWA4	Mitofusin-1	y				
ERO1A	GenericProtein	Uniprot	Q96HE7	Endoplasmic reticulum oxidoreductase 1 alpha	y				
Orf10 (+)ss sgmRNA	RNA	ncbigene	43740576	ORF10 protein	y				
Orf10	GenericProtein	interpro	IPR044342	ORF10 protein	y				
Orf10	GenericProtein	InterPro	IPR044342	SARS-CoV-2 ORF10 protein	y				
Orf10	GenericProtein	InterPro	IPR044342	ORF10 protein (SARS-CoV-2 ORF10 protein)	y				
Orf10	GenericProtein	UniProt	A0A663DJA2	Hypothetical ORF10 protein	y				
E2	GenericProtein	uniprot	P51668	Ubiquitin-conjugating enzyme E2 D1	y				
Orf10	GenericProtein	InterPro	IPR044342	ORF10 protein	y				
CSN5	Complex	go	GO:0008180	COP9 signalosome	y				
E2	GenericProtein	uniprot	UBE2U_HUMAN	Ubiquitin-conjugating enzyme E2 U	n		uniprot:P51668		
Orf10	GenericProtein	UniProt	A0A663DJA2	Hypothetical ORF10 protein	y				
Orf10	GenericProtein	UniProt	A0A663DJA2	ORF10 protein	y				
E1	GenericProtein	UniProt	P22314	ubiquitin-activating enzyme E1	y				
E2	GenericProtein	UniProt	UBE2D1	ubiquitin-conjugating enzyme E2 D1	n		uniprot:P51668		
Ub	SimpleMolecule	PubChem.compound	6224	Ubiquitin	n		interpro:PF00240		
Orf10	GenericProtein	UniProt	A0A663DJA2	ORF10 protein	y				
E2	GenericProtein	InterPro	IPR000608	Ubiquitin-conjugating (UBC), catalytic core domain	n		uniprot:P51668		
Orf10	GenericProtein	UniProt	A0A663DJA2	Hypothetical ORF10 protein	y				
Zonisamide	Drug	DrugBank	DB00909	Zonisamide	y				
Neutrophil_activation	Phenotype	mesh	D018375	Neutrophil Activation	y				
virus_replication	Phenotype	MeSH	D014779	Virus Replication	y				
Zonisamide	Drug	DrugBank	DB00909	Zonisamide	y				
PXLP	SimpleMolecule	chebi	CHEBI:18405	Pyridoxal phosphate	y	to check			
monocarboxylates transported by SLC5A8	SimpleMolecule	pubchem.compound	3302	Lactic acid	n		CHEBI:35757		
Epacadostat	Drug	DrugBank	DB11717	Epacadostat	y				
celecoxib	Drug	DrugBank	DB00482	Celecoxib	y				
HSP90	GenericProtein	UniProt	P07900	Heat shock protein HSP90 alpha 1 (HSPC1/HSP90AA1)	y				
ORF9c	GenericProtein	UniProt	P0DTD3	ORF9c protein	y				
DIPY	SimpleMolecule	CHEBI	CHEBI:30351	2,2'-Bipyridine	y	to check			
CK2	GenericProtein	uniprot	P68400	Casein kinase II subunit alpha	n	too specific;actually a complex	GO:0005956		
PPO	GenericProtein	UniProt	P43310	Polyphenol oxidase, chloroplastic	n		uniprot:P50336		
Fe2+	Ion	chebi	CHEBI:29033	iron(2+)	y				
IFN-III	GenericProtein	uniprot	Q8IZI9	Interferon lambda-3	n	too specific	interpro:IPR029177		
ribosomal 40S subunit	Complex	go	GO:0022627	cytosolic small ribosomal subunit	y				
nsp14	GenericProtein	Uniprot	P0DTD1	Non-structural protein 14 (nsp14)	n	too general	mesh:C000709087		
ribosomal 40S subunit	Complex	Reactome	R-MMU-9633580	40S ribosomal subunit	n	should not have searched in  reactome	GO:0022627		
nsp16	GenericProtein	UniProt	P0DTD1	Non-structural protein 16 (nsp16)	n	too general	mesh:C000709423		
ribosomal 40S subunit	Complex	GO	GO:0022627	cytosolic small ribosomal subunit	y				
ribosomal 60S subunit	Complex	go	GO:0022625	cytosolic large ribosomal subunit	y				
ribosomal 40S subunit	Complex	Reactome	R-HSA-72392	40S ribosomal complex [cytosol]	n	should not have searched in  reactome	GO:0022627		
ribosomal 60S subunit	Complex	GO (Gene Ontology)	GO:0022625	60S ribosomal subunit	y				
ribosomal 60S subunit	Complex	go	GO:0022625	cytosolic large ribosomal subunit	y				
IFN-III	Gene	HGNC	IFNL1	Interferon lambda 1	n	too specific	HGNC:18363;HGNC:18364;HGNC:18365;HGNC:44480		
IFN-III	RNA	HGNC	HGNC:18365	Interferon lambda 3 (IFNL3)	n	too specific	HGNC:18363;HGNC:18364;HGNC:18365;HGNC:44480		
IFNs	Complex	mesh	D050832	Interferon-Stimulated Gene Factor 3	n	complex might not be the right type	interpro:IPR029177		
viral RNA+N-methyl-Guanine	RNA	HGNC	HGNC:10075	RNA guanine-7 methyltransferase	n		Mesh:D012367;CHEBI:25305		
IRF1	GenericProtein	UniProt	P10914	Interferon regulatory factor 1	y				
IFN-III	RNA	hgnc.symbol	IFNL3	Interferon lambda 3	n	too specific	HGNC:18363;HGNC:18364;HGNC:18365;HGNC:44480		
IFN-III	GenericProtein	UniProt	Q8IZI9	Interferon lambda-3	n	too specific	interpro:IPR029177		
